Life Span,Colour,Season,Height (in),Sun or Shade,Flower Type
perennial,red,spring,12,shade,Berginia
perennial,blue,spring,12,shade,Blueberry
perennial,red,summer,12,shade,Bleed-heart
perennial,any_colour,summer,6,part-shade,viola
annual,white,spring,6,sun,Candytuft
perennial,violet,spring,6,part-shade,Ajuga
annual,violet,spring,24,part-shade,Honesty
perennial,any_colour,summer,30,sun,Delphinium
perennial,violet,summer,12,sun,Lavander
perennial,red,summer,30,any,Daylily
perennial,yellow,summer,30,any,Daylily
annual,white,summer,4,sun,Alyssum
perennial,yellow,summer,24,sun,Peony
perennial,red,summer,8,sun,Dianthus
annual,white,summer,6,sun,Eng-daisy
perennial,yellow,summer,28,sun,Yarrow
annual,yellow,summer,10,sun,Gazania
perennial,any_colour,summer,24,sun,Columbine
perennial,any_colour,summer,24,part-shade,Columbine
perennial,blue,summer,30,sun,Japan-iris
perennial,white,summer,30,sun,Japan-iris
perennial,blue,spring,10,shade,Lungwort
perennial,yellow,summer,30,sun,Bi-eyed-su
perennial,any_colour,autumn,16,sun,Hardy-aster
perennial,red,summer,118,part-shade,Cranesbill
perennial,blue,autumn,30,part-shade,Lobelia
perennial,red,autumn,20,part-shade,Lobelia
perennial,white,autumn,36,part-shade,Jap-anemon
perennial,red,summer,30,sun,Poppy